listing_id,price_raw,square_feet,bedrooms,bathrooms,ad_spend_usd,impressions,clicks,leads_converted,description,price_usd,ctr,cpc,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4
lst_1000,$399671,2389,4,2.0,1499.7814045052803,4454,90,0,Cozy cottage nestled in the woods near a quiet lake.,399671.0,0.02020655590480467,16.48111433522286,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1001,$336173,1724,2,1.5,53.16700714301072,15182,137,0,Modern downtown condo with state-of-the-art kitchen features.,336173.0,0.00902384402582005,0.3852681677029762,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1002,$414768,1590,1,2.5,976.0753223745876,4822,452,0,Beautiful family house in the suburbs with a large green garden.,414768.0,0.09373703857320614,2.1546916608710545,0.0,0.7145779065701711,0.0,0.42689161649500085,0.5542039003905306
lst_1003,$502302,1998,2,2.5,254.8033621385081,17872,182,0,Cozy cottage nestled in the woods near a quiet lake.,502302.0,0.010183527305282006,1.3923680991175307,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1004,$326584,1914,5,1.5,1384.910798230625,9011,494,0,Cozy cottage nestled in the woods near a quiet lake.,326584.0,0.05482188436355565,2.797799592385101,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1005,$326586,1773,2,1.0,185.7676953337624,3335,347,0,Luxury penthouse overlooking the city skyline with a private balcony.,326586.0,0.104047976011994,0.5338152164763287,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1006,$507921,2348,4,1.5,1434.841621333043,4676,256,1,Modern downtown condo with state-of-the-art kitchen features.,507921.0,0.05474764756201882,5.583041328144136,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1007,$426743,2477,1,1.5,935.843261851043,1200,19,0,Cozy cottage nestled in the woods near a quiet lake.,426743.0,0.015833333333333335,46.79216309255215,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1008,$303052,2044,4,1.0,51.83871152746086,8964,227,0,Beautiful family house in the suburbs with a large green garden.,303052.0,0.02532351628737171,0.22736276985728446,0.0,0.7145779065701711,0.0,0.42689161649500085,0.5542039003905306
lst_1009,$404256,2738,1,1.0,1346.310436979369,8808,383,0,Beautiful family house in the suburbs with a large green garden.,404256.0,0.043483197093551314,3.5060167629671066,0.0,0.7145779065701711,0.0,0.42689161649500085,0.5542039003905306
lst_1010,$303658,1429,5,2.0,806.4821119820316,19016,205,0,Cozy cottage nestled in the woods near a quiet lake.,303658.0,0.01078039545645772,3.914961708650639,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1011,$303427,1903,1,2.0,430.8711162292026,17265,111,0,Beautiful family house in the suburbs with a large green garden.,303427.0,0.006429192006950478,3.847063537760737,0.0,0.7145779065701711,0.0,0.42689161649500085,0.5542039003905306
lst_1012,$374196,1641,1,1.0,1162.5548073976636,14539,254,0,Cozy cottage nestled in the woods near a quiet lake.,374196.0,0.017470252424513378,4.559038460382994,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1013,$158671,1066,1,2.5,1393.6650531359614,11850,441,0,Beautiful family house in the suburbs with a large green garden.,158671.0,0.03721518987341772,3.153088355511225,0.0,0.7145779065701711,0.0,0.42689161649500085,0.5542039003905306
lst_1014,$177508,1958,2,2.5,751.3516935628512,9881,413,0,Cozy cottage nestled in the woods near a quiet lake.,177508.0,0.04179738892824613,1.8148591631952928,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1015,$293771,1939,2,1.5,507.5525379425108,5095,93,1,Cozy cottage nestled in the woods near a quiet lake.,293771.0,0.018253189401373895,5.399495084494796,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1016,$248716,2756,5,3.0,1193.9704297056437,17985,129,0,Cozy cottage nestled in the woods near a quiet lake.,248716.0,0.0071726438698915766,9.184387920812643,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1017,$381424,2315,1,1.5,1038.5889717932591,12086,117,0,Beautiful family house in the suburbs with a large green garden.,381424.0,0.009680622207512824,8.801601455875078,0.0,0.7145779065701711,0.0,0.42689161649500085,0.5542039003905306
lst_1018,$259197,1487,3,1.5,1338.691101437895,12610,473,0,Cozy cottage nestled in the woods near a quiet lake.,259197.0,0.037509912767644725,2.824242830037753,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1019,$208769,2927,5,3.0,1054.14531850373,19564,141,1,Luxury penthouse overlooking the city skyline with a private balcony.,208769.0,0.007207115109384584,7.423558581012184,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1020,$496564,2610,1,1.0,403.1160914043276,9368,251,0,Cozy cottage nestled in the woods near a quiet lake.,496564.0,0.0267933390264731,1.5996670293822524,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1021,$327422,2291,1,2.5,1400.9059121505777,602,170,0,Modern downtown condo with state-of-the-art kitchen features.,327422.0,0.2823920265780731,8.1924322347987,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1022,$356752,1886,2,1.5,202.0118334486874,9631,154,1,Modern downtown condo with state-of-the-art kitchen features.,356752.0,0.01599003218772713,1.3033021512818543,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1023,$207525,1520,5,3.0,438.51698765492944,8109,367,0,Luxury penthouse overlooking the city skyline with a private balcony.,207525.0,0.04525835491429276,1.1916222490623083,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1024,$295561,1813,1,2.0,804.2821811996341,17107,347,0,Cozy cottage nestled in the woods near a quiet lake.,295561.0,0.02028409423043199,2.311155693102397,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1025,$361092,2544,1,1.5,870.3259378028071,11642,437,0,Modern downtown condo with state-of-the-art kitchen features.,361092.0,0.03753650575502491,1.987045520097733,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1026,$234900,2942,5,2.5,72.20035060901287,17534,72,1,Cozy cottage nestled in the woods near a quiet lake.,234900.0,0.004106307744952664,0.9890458987536009,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1027,$387569,2771,3,1.0,1181.830452440363,17813,225,0,Modern downtown condo with state-of-the-art kitchen features.,387569.0,0.012631224386683883,5.229338285134349,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1028,$289936,1755,5,1.5,574.3306117168148,13535,275,0,Beautiful family house in the suburbs with a large green garden.,289936.0,0.02031769486516439,2.08090801346672,0.0,0.7145779065701711,0.0,0.42689161649500085,0.5542039003905306
lst_1029,$320830,1440,5,1.5,639.3068844530999,4214,325,0,Beautiful family house in the suburbs with a large green garden.,320830.0,0.07712387280493593,1.9610640627395701,0.0,0.7145779065701711,0.0,0.42689161649500085,0.5542039003905306
lst_1030,$289829,2070,3,3.0,1223.5858394335714,13668,314,1,Luxury penthouse overlooking the city skyline with a private balcony.,289829.0,0.022973368451858354,3.8843994902653063,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1031,$535227,1115,5,2.0,599.9609180049396,3467,418,0,Luxury penthouse overlooking the city skyline with a private balcony.,535227.0,0.12056533025670609,1.431887632470023,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1032,$348650,2161,1,2.0,118.4760709173945,8195,353,0,Cozy cottage nestled in the woods near a quiet lake.,348650.0,0.04307504575960952,0.33467816643331777,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
lst_1033,$244228,1926,5,1.0,305.837667182008,5241,24,1,Luxury penthouse overlooking the city skyline with a private balcony.,244228.0,0.0045792787635947334,12.233506687280318,0.0,0.0,0.0,0.6102323412881732,0.7922225000881726
lst_1034,$432254,1766,3,2.5,1436.0595999628645,4051,293,0,Cozy cottage nestled in the woods near a quiet lake.,432254.0,0.07232782029128611,4.884556462458723,0.61006590768864,0.4340513986662863,0.61006590768864,0.259303991230201,0.0
